City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kibala,9.1104,18.3463,73.35,94,0,0.0,TD,1632029273
Faya,18.3851,42.4509,71.71,17,55,5.21,SA,1632029275
Bahía Honda,22.9036,-83.1592,78.37,86,72,6.67,CU,1632029277
Cape Town,-33.9258,18.4232,58.12,83,75,7.0,ZA,1632029032
Mar del Plata,-38.0023,-57.5575,51.82,100,90,6.91,AR,1632029280
Zasheyek,67.4066,32.5499,37.33,80,47,2.44,RU,1632029282
Seoul,37.5683,126.9778,81.97,57,0,4.61,KR,1632029182
Hamilton,39.1834,-84.5333,72.88,90,1,0.0,US,1632029284
Tura,25.5198,90.2201,81.0,82,28,4.23,IN,1632029128
Kyra,49.5776,111.9753,59.14,63,61,5.37,RU,1632029286
Flinders,-34.5833,150.8552,75.2,37,7,11.01,AU,1632029287
Vaini,-21.2,-175.2,73.56,78,75,10.36,TO,1632029288
Kapaa,22.0752,-159.319,82.38,73,20,5.01,US,1632029290
Qaanaaq,77.484,-69.3632,15.01,76,100,6.49,GL,1632029292
Khatanga,71.9667,102.5,38.35,51,10,15.35,RU,1632029294
Atar,20.5169,-13.0499,82.11,40,81,8.1,MR,1632029295
Sydney,-33.8679,151.2073,78.62,32,0,1.99,AU,1632029034
Busselton,-33.65,115.3333,61.09,70,74,9.69,AU,1632029236
Waitati,-45.75,170.5667,50.81,83,100,6.51,NZ,1632029298
Mwinilunga,-11.7358,24.4293,65.55,42,26,2.42,ZM,1632029299
Bluff,-46.6,168.3333,50.81,77,100,15.19,NZ,1632029301
Mount Gambier,-37.8333,140.7667,55.31,94,90,19.57,AU,1632029060
Tasiilaq,65.6145,-37.6368,35.76,66,100,4.59,GL,1632029303
Kruisfontein,-34.0033,24.7314,50.88,62,41,8.39,ZA,1632029305
Atuona,-9.8,-139.0333,77.7,78,10,19.75,PF,1632029307
Iqaluit,63.7506,-68.5145,33.53,86,90,2.3,CA,1632029309
Richards Bay,-28.783,32.0377,59.79,72,0,12.46,ZA,1632029244
Ribeira Grande,38.5167,-28.7,67.77,70,59,5.66,PT,1632029312
Saint-Philippe,-21.3585,55.7679,78.35,63,89,15.95,RE,1632029313
Dikson,73.5069,80.5464,34.52,75,24,23.82,RU,1632029315
Manta,-0.95,-80.7333,73.18,88,90,11.5,EC,1632029317
Mayumba,-3.432,10.6554,73.69,86,96,5.48,GA,1632029319
Hobart,-42.8794,147.3294,62.46,55,40,10.0,AU,1632029321
Villaviciosa,43.4813,-5.4357,58.15,74,11,5.46,ES,1632029322
Solnechnyy,50.7214,136.6319,57.34,33,12,13.02,RU,1632029324
Puksoozero,62.5903,40.6066,38.17,72,67,2.66,RU,1632029324
Chui,-33.6971,-53.4616,56.93,98,19,5.44,UY,1632029213
Bethel,41.3712,-73.414,71.96,85,1,0.0,US,1632029329
San Patricio,28.017,-97.5169,82.85,72,0,5.7,US,1632029330
Guerrero Negro,27.9769,-114.0611,68.97,83,6,16.82,MX,1632029331
Tonj,7.2737,28.6822,70.2,91,49,3.22,SS,1632029333
Roald,62.5833,6.1333,55.33,76,0,8.05,NO,1632029335
Beyneu,45.3167,55.2,61.2,37,2,9.95,KZ,1632029337
Novo Aripuanã,-5.1206,-60.3797,72.57,97,66,0.49,BR,1632029339
Katsuura,35.1333,140.3,80.64,65,87,23.94,JP,1632029341
San Cristobal,7.7669,-72.225,65.32,97,89,2.37,VE,1632029172
Les Cayes,18.2,-73.75,78.19,86,35,2.1,HT,1632029314
Manavālakurichi,8.1333,77.3,86.09,64,100,10.25,IN,1632029343
Hermanus,-34.4187,19.2345,57.9,76,3,6.87,ZA,1632029344
Norman Wells,65.282,-126.8329,46.44,71,75,6.91,CA,1632029346
Karangsembung,-6.8487,108.6422,90.34,52,71,5.97,ID,1632029331
Leningradskiy,69.3833,178.4167,28.13,86,95,19.22,RU,1632029348
Lüderitz,-26.6481,15.1594,50.99,90,36,1.07,NA,1632029350
São Paulo de Olivença,-3.3783,-68.8725,72.28,93,40,2.73,BR,1632029352
Luján,-34.5703,-59.105,60.98,95,0,6.78,AR,1632029125
Imbituba,-28.24,-48.6703,67.89,98,81,4.92,BR,1632029356
Upernavik,72.7868,-56.1549,20.35,60,18,5.79,GL,1632029357
Anito,12.4497,125.2886,85.37,68,100,3.29,PH,1632029359
La Orilla,17.9833,-102.2333,76.95,91,100,4.63,MX,1632029360
Tiksi,71.6872,128.8694,34.95,71,100,17.83,RU,1632029361
Olafsvik,64.8945,-23.7142,46.83,74,82,13.6,IS,1632029363
Lipin Bor,60.2622,37.9763,39.29,79,96,8.1,RU,1632029365
Nikolskoye,59.7035,30.7861,39.02,79,100,7.27,RU,1632029367
Tiruchchendur,8.4833,78.1167,89.89,63,100,4.41,IN,1632029324
Chuzhou,32.3219,118.2978,89.89,55,0,11.3,CN,1632029103
Puerto Ayora,-0.7393,-90.3518,69.55,90,42,4.0,EC,1632029370
Luau,-10.7073,22.2247,67.87,69,90,2.53,AO,1632029372
Poreč,45.2258,13.5939,65.61,83,100,6.91,HR,1632029374
Jumla,29.2747,82.1838,74.93,60,2,6.31,NP,1632029376
Usinsk,65.9939,57.5281,37.94,67,99,20.78,RU,1632029376
Berlevåg,70.8578,29.0864,41.95,75,1,19.77,NO,1632029378
Port Blair,11.6667,92.75,87.84,74,40,9.22,IN,1632029182
Lompoc,34.6391,-120.4579,60.48,86,1,0.0,US,1632029381
Clyde River,70.4692,-68.5914,28.81,84,98,2.66,CA,1632029382
Yeppoon,-23.1333,150.7333,82.18,56,2,9.24,AU,1632029384
Broome,42.2506,-75.833,60.01,79,1,1.01,US,1632029385
Bubaque,11.2833,-15.8333,80.02,77,100,12.19,GW,1632029387
Oyo,7.85,3.9333,70.83,99,96,3.09,NG,1632029389
Gelibolu,40.4103,26.6708,62.46,73,4,6.87,TR,1632029180
Ballina,-28.8667,153.5667,77.18,70,75,12.66,AU,1632029391
Lingyuan,41.24,119.4011,69.51,50,100,4.5,CN,1632029392
Mizdah,31.4451,12.9801,70.0,27,0,3.27,LY,1632029393
The Valley,18.217,-63.0578,82.81,68,2,15.52,AI,1632029395
Saint George,37.1041,-113.5841,74.62,64,40,1.01,US,1632029218
Murray Bridge,-35.1167,139.2667,68.68,48,41,20.8,AU,1632029385
Deputatsky,69.3,139.9,25.27,97,100,19.26,RU,1632029397
Montegranaro,43.2355,13.631,68.34,75,13,5.79,IT,1632029386
Yar-Sale,66.8333,70.8333,34.86,99,100,17.63,RU,1632029400
Indramayu,-6.3264,108.32,87.37,58,44,14.61,ID,1632029403
Bassar,9.25,0.7833,69.85,98,100,2.68,TG,1632029404
Petropavlovsk-Kamchatskiy,53.0452,158.6483,57.79,55,75,6.71,RU,1632029312
Ukiah,39.1502,-123.2078,63.45,92,90,6.91,US,1632029408
Kiama,-34.6833,150.8667,73.26,34,18,12.53,AU,1632029409
Lorengau,-2.0226,147.2712,84.34,70,70,7.87,PG,1632029410
Sola,-13.8833,167.55,79.77,79,16,21.85,VU,1632029411
Belaya Gora,68.5333,146.4167,33.66,66,97,14.7,RU,1632029412
Santo Tomas,14.1079,121.1414,79.05,80,100,6.15,PH,1632029181
Byron Bay,-28.65,153.6167,73.36,70,52,9.37,AU,1632029415
Maoming,21.65,110.9,90.91,60,7,11.25,CN,1632029191
Naze,28.3667,129.4833,83.32,67,13,5.46,JP,1632029325
Aldan,58.6031,125.3894,42.71,66,87,10.6,RU,1632029417
Matelândia,-25.2408,-53.9964,75.56,68,99,4.9,BR,1632029419
Umluj,25.0213,37.2685,85.53,50,1,9.82,SA,1632029421
Mana,5.6592,-53.7767,77.56,89,65,5.64,GF,1632029423
Grindavik,63.8424,-22.4338,48.15,81,75,12.66,IS,1632029425
Cherskiy,68.75,161.3,33.17,61,16,10.2,RU,1632029427
Hong Kong,22.2855,114.1577,91.96,78,55,1.01,HK,1632029349
Los Llanos de Aridane,28.6585,-17.9182,69.55,77,75,6.91,ES,1632029161
Nishihara,26.1842,127.7558,85.66,72,20,9.22,JP,1632029361
Buckeye,33.3703,-112.5838,86.13,63,9,12.66,US,1632029431
Rosetta,31.4044,30.4164,71.42,58,0,2.01,EG,1632029306
Mount Isa,-20.7333,139.5,92.97,17,0,6.91,AU,1632029433
Hammerfest,70.6634,23.6821,43.25,70,99,6.91,NO,1632029434
Acapulco de Juárez,16.8634,-99.8901,77.88,86,100,4.03,MX,1632029436
Nhulunbuy,-12.2333,136.7667,86.61,45,40,17.27,AU,1632029437
Pundaguitan,6.3711,126.1689,83.59,72,68,7.81,PH,1632029438
Manokwari,-0.8667,134.0833,79.41,83,96,8.5,ID,1632029249
Izumo,35.3667,132.7667,78.75,69,40,14.97,JP,1632029422
Bengkulu,-3.8004,102.2655,82.72,75,52,14.54,ID,1632029440
Margate,51.3813,1.3862,59.88,91,100,7.83,GB,1632029174
Beloha,-25.1667,45.05,64.53,58,100,6.98,MG,1632029442
Tuktoyaktuk,69.4541,-133.0374,41.0,100,90,0.0,CA,1632029444
La Ronge,55.1001,-105.2842,53.85,76,75,6.91,CA,1632029446
Chokurdakh,70.6333,147.9167,35.91,51,87,10.09,RU,1632029447
Gdańsk,54.3521,18.6464,54.09,62,75,11.5,PL,1632029449
Narsaq,60.9167,-46.05,41.22,98,100,4.29,GL,1632029452
Banda Aceh,5.5577,95.3222,81.09,77,99,11.86,ID,1632029455
Saskylakh,71.9167,114.0833,32.14,78,65,4.05,RU,1632029456
Carnarvon,-24.8667,113.6333,71.67,56,0,23.02,AU,1632029458
Altamont,42.2068,-121.7372,51.78,77,90,1.01,US,1632029459
Tacoronte,28.4769,-16.4102,66.25,83,20,3.0,ES,1632029325
Riyadh,24.6877,46.7219,89.74,14,0,9.22,SA,1632029354
Shar,49.5886,81.0453,69.21,19,91,9.35,KZ,1632029463
Liverpool,53.4106,-2.9779,58.95,82,40,1.99,GB,1632029463
Mitú,1.1983,-70.1733,68.09,95,40,0.45,CO,1632029465
Avera,33.194,-82.5271,76.87,76,99,4.83,US,1632029467
Sitka,57.0531,-135.33,51.69,87,90,3.44,US,1632029468
Hambantota,6.1241,81.1185,89.94,66,75,9.22,LK,1632029470
Great Falls,47.5002,-111.3008,63.68,42,90,9.22,US,1632029472
Pierre,44.3683,-100.351,76.12,53,1,14.97,US,1632029473
Santa Cruz de la Sierra,-17.8,-63.1667,76.46,73,9,11.5,BO,1632029475
Ambon City,-3.6954,128.1814,87.94,70,40,5.75,ID,1632029270
Ketchikan,55.3422,-131.6461,52.27,93,90,0.0,US,1632029477
Phek,25.6667,94.5,69.1,88,61,1.66,IN,1632029481
Airai,-8.9266,125.4092,73.83,46,46,5.97,TL,1632029482
Thompson,55.7435,-97.8558,53.76,76,75,8.05,CA,1632029483
Hojāi,26.0,92.8667,83.28,81,81,3.65,IN,1632029315
Ostrovnoy,68.0531,39.5131,41.99,64,8,1.83,RU,1632029485
Liusha,27.2098,108.59,69.28,88,100,6.44,CN,1632029486
Kaitangata,-46.2817,169.8464,50.65,79,100,2.35,NZ,1632029487
Marabu,4.4148,114.0089,87.94,66,40,10.36,MY,1632029422
Sabang,5.8933,95.3214,81.55,75,94,16.87,ID,1632029489
Zhigansk,66.7697,123.3711,36.5,70,100,11.97,RU,1632029490
Oussouye,12.485,-16.5469,75.49,92,100,3.51,SN,1632029493
Mouila,-1.8685,11.0559,73.04,92,99,0.58,GA,1632029494
Lagoa,39.05,-27.9833,66.58,64,38,10.74,PT,1632029496
Paita,-5.0892,-81.1144,62.94,82,4,10.58,PE,1632029498
Port Hardy,50.6996,-127.4199,50.18,100,75,6.91,CA,1632029500
Severo-Kuril'sk,50.6789,156.125,51.13,95,100,13.76,RU,1632029502
Portland,45.5234,-122.6762,59.41,92,90,1.01,US,1632029461
Dubbo,-32.25,148.6167,68.13,32,0,8.05,AU,1632029505
Makakilo City,21.3469,-158.0858,79.12,61,1,8.05,US,1632029507
Vao,-22.6667,167.4833,68.77,61,93,17.45,NC,1632029509
eMkhomazi,-30.2067,30.7978,60.6,69,11,14.85,ZA,1632029459
Sibu,2.3,111.8167,86.31,70,40,2.3,MY,1632029510
Bam,29.106,58.357,93.15,5,0,3.33,IR,1632029231
Neryungri,56.6709,124.6491,48.0,46,74,9.82,RU,1632029512
Zharkent,44.1628,80.0,86.38,12,81,4.54,KZ,1632029439
Yanam,16.7333,82.2167,86.4,49,100,5.26,IN,1632029514
Valleyview,55.0667,-117.2859,41.29,95,62,4.74,CA,1632029515
Eirunepé,-6.6603,-69.8736,73.99,88,67,2.15,BR,1632029516
Muros,42.7762,-9.0603,57.83,93,63,4.32,ES,1632029410
Bathsheba,13.2167,-59.5167,75.81,88,20,5.75,BB,1632029519
Esperance,-33.8667,121.9,58.84,77,99,14.5,AU,1632029440
Aswān,24.0934,32.907,76.3,35,0,6.91,EG,1632029521
Ilulissat,69.2167,-51.1,21.22,58,1,0.0,GL,1632029523
Westport,41.1415,-73.3579,73.98,86,40,1.01,US,1632029231
Isparta Province,38.0,31.0,52.56,47,1,5.75,TR,1632029526
Asău,46.4333,26.4,54.52,67,13,8.68,RO,1632029528
Labuan,5.2767,115.2417,89.76,66,20,5.75,MY,1632029530
Mitsamiouli,-11.3847,43.2844,80.89,74,20,23.02,KM,1632029531
Bandarbeyla,9.4942,50.8122,85.57,61,100,23.49,SO,1632029533
Laas,46.6166,10.7002,58.46,94,89,3.13,IT,1632029535
Paamiut,61.994,-49.6678,37.0,76,100,7.99,GL,1632029537
Manono,-7.3,27.4167,75.87,76,100,7.16,CD,1632029538
Arraial do Cabo,-22.9661,-42.0278,70.0,91,16,7.05,BR,1632029540
Ancud,-41.8697,-73.8203,38.73,86,15,1.59,CL,1632029542
Sioux Lookout,50.1001,-91.917,61.18,67,1,11.5,CA,1632029544
Becerril,9.7041,-73.2793,74.68,88,97,2.26,CO,1632029546
Conde,-7.2597,-34.9075,71.06,88,0,4.61,BR,1632029547
Aksu,41.1231,80.2644,82.71,20,0,3.33,CN,1632029277
Ponta do Sol,32.6667,-17.1,72.23,69,19,6.64,PT,1632029549
Porto-Novo,6.4965,2.6036,78.62,92,81,3.53,BJ,1632029551
Sarangani,5.4033,125.4636,83.8,70,89,8.5,PH,1632029554
Pinheiro,-2.5214,-45.0825,72.68,96,14,2.8,BR,1632029294
Andros Town,24.7,-77.7667,80.56,74,56,6.64,BS,1632029555
Codrington,-38.2667,141.9667,54.18,94,100,17.76,AU,1632029556
São Filipe,14.8961,-24.4956,78.51,84,92,5.08,CV,1632029558
Udachny,66.4167,112.4,36.72,61,84,4.23,RU,1632029455
Husavik,66.0449,-17.3389,46.31,79,66,4.09,IS,1632029560
Ngaoundéré,7.3167,13.5833,62.78,94,86,1.5,CM,1632029297
Yangi Marg`ilon,40.4272,71.7189,83.12,24,0,6.91,UZ,1632029562
Lebu,-37.6167,-73.65,46.18,83,4,10.8,CL,1632029563
Marawi,7.9986,124.2928,75.65,86,50,2.77,PH,1632029565
Pevek,69.7008,170.3133,31.28,73,100,15.03,RU,1632029565
Lodwar,3.1191,35.5973,81.75,55,66,4.14,KE,1632029567
Caravelas,-17.7125,-39.2481,67.78,91,20,5.28,BR,1632029569
Pisco,-13.7,-76.2167,60.85,82,90,4.61,PE,1632029572
Tarko-Sale,64.9225,77.785,43.88,67,98,14.61,RU,1632029574
Camacha,33.0833,-16.3333,68.76,73,75,4.61,PT,1632029577
Port Lincoln,-34.7333,135.8667,63.55,51,26,24.85,AU,1632029580
Daşoguz,41.8363,59.9666,69.91,34,0,6.91,TM,1632029285
Phang Nga,8.4509,98.5298,87.91,69,92,5.84,TH,1632029410
Yatou,37.15,122.3833,73.17,80,98,8.41,CN,1632029583
Ulaangom,49.9811,92.0667,70.52,26,0,8.1,MN,1632029583
Acaraú,-2.8856,-40.12,77.76,78,8,17.22,BR,1632029584
Vardø,70.3705,31.1107,45.14,71,5,20.49,NO,1632029586
Port Elizabeth,-33.918,25.5701,57.49,82,0,9.22,ZA,1632029411
Kenai,60.5544,-151.2583,46.45,81,1,0.0,US,1632029588
Baião,-2.7906,-49.6717,72.27,96,37,3.0,BR,1632029590
Harar,9.3094,42.1258,66.18,68,7,4.0,ET,1632029305
Bambous Virieux,-20.3428,57.7575,77.22,73,75,12.66,MU,1632029593
Bolu Province,40.6667,31.5833,64.42,77,2,4.23,TR,1632029595
Anadyr,64.75,177.4833,45.1,87,75,11.18,RU,1632029597
Biak,-0.9131,122.8766,80.26,70,99,5.32,ID,1632029599
Campos dos Goytacazes,-21.75,-41.3,69.6,94,25,5.1,BR,1632029600
Moindou,-21.6924,165.677,75.15,66,8,15.23,NC,1632029602
Samarai,-10.6167,150.6667,78.67,87,100,18.1,PG,1632029603
Baraguá,21.6967,-78.6328,76.19,93,39,5.88,CU,1632029604
Ahipara,-35.1667,173.1667,55.18,72,100,8.99,NZ,1632029605
Hilo,19.7297,-155.09,76.28,89,90,5.75,US,1632029606
Nome,64.5011,-165.4064,46.47,76,90,10.36,US,1632029608
Huanuni,-18.2667,-66.85,40.03,82,11,3.71,BO,1632029611
Belmonte,-15.8631,-38.8828,66.7,86,35,3.83,BR,1632029613
Rodrigues Alves,-7.738,-72.6509,72.39,79,5,2.73,BR,1632029615
Ulaanbaatar,47.9077,106.8832,53.73,76,75,4.47,MN,1632029550
Ulladulla,-35.35,150.4667,72.88,43,83,13.06,AU,1632029617
Øksfjord,70.2396,22.3479,43.72,69,100,9.13,NO,1632029618
Mogadishu,2.0371,45.3438,80.47,94,75,17.27,SO,1632029442
Buala,-8.145,159.5921,81.73,81,81,11.27,SB,1632029621
Mandalgovi,45.7625,106.2708,64.83,48,47,6.76,MN,1632029622
Ajdabiya,30.7554,20.2263,79.9,35,0,6.71,LY,1632029439
Toma,12.7667,-2.8833,77.76,71,87,11.88,BF,1632029624
Toppenish,46.3774,-120.3087,58.82,77,71,7.63,US,1632029626
Pangnirtung,66.1451,-65.7125,32.56,79,100,5.08,CA,1632029627
Gambēla,8.25,34.5833,76.06,77,68,1.28,ET,1632029631
Tuatapere,-46.1333,167.6833,50.83,88,100,5.01,NZ,1632029633
Sisimiut,66.9395,-53.6735,31.01,48,95,8.28,GL,1632029634
Riviere-au-Renard,48.9957,-64.3971,53.6,79,97,15.03,CA,1632029636
Assiut,27.181,31.1837,75.38,40,0,7.92,EG,1632029637
Peringat,6.0333,102.2833,87.75,66,40,8.05,MY,1632029639
Namatanai,-3.6667,152.4333,83.21,73,83,10.85,PG,1632029640
Cidreira,-30.1811,-50.2056,63.1,94,12,3.58,BR,1632029642
Japura,-0.3167,102.35,82.69,74,100,2.91,ID,1632029644
Kavaratti,10.5669,72.642,81.79,77,94,7.38,IN,1632029644
Bairiki Village,1.3292,172.9752,86.0,66,75,13.8,KI,1632029645
Bukachacha,52.9833,116.9167,57.61,58,6,8.37,RU,1632029647
Cayenne,4.9333,-52.3333,83.08,78,20,3.0,GF,1632029649
Nanning,22.8167,108.3167,90.05,67,35,8.39,CN,1632029374
Chicama,-7.8447,-79.1469,61.65,85,56,5.37,PE,1632029652
Dalbandin,28.8947,64.4101,96.06,5,2,4.05,PK,1632029654
Sistranda,63.7256,8.834,52.9,73,72,6.46,NO,1632029656
Poum,-20.2333,164.0167,71.19,62,2,6.04,NC,1632029657
Iquitos,-3.7481,-73.2472,73.44,94,20,0.0,PE,1632029659
Bali,-8.5,115.0,83.37,64,42,13.76,ID,1632029662
Yenagoa,4.9247,6.2642,75.43,93,96,2.01,NG,1632029662
Porto Velho,-8.7619,-63.9039,73.45,94,0,1.14,BR,1632029664
Lajas,18.05,-67.0593,78.19,82,0,4.0,PR,1632029666
Kharp,66.8014,65.8081,38.89,62,100,16.69,RU,1632029668
Carutapera,-1.195,-46.02,77.23,83,7,6.42,BR,1632029670
Rolla,37.9514,-91.7713,71.67,89,1,3.0,US,1632029672
Ust'-Ishim,57.6935,71.1665,37.36,92,98,11.34,RU,1632029673
Puerto Escondido,15.85,-97.0667,78.22,89,100,4.45,MX,1632029675
Leer,8.3018,30.1418,74.89,82,84,4.41,SS,1632029676
Srednekolymsk,67.45,153.6833,37.56,46,36,19.53,RU,1632029678
Barraute,48.4335,-77.6328,46.67,88,97,3.62,CA,1632029680
Erenhot,43.6475,111.9767,75.88,24,100,11.14,CN,1632029681
Aasiaat,68.7098,-52.8699,18.19,75,6,5.84,GL,1632029553
Tezu,27.9167,96.1667,89.73,46,0,3.69,IN,1632029683
Rio Tuba,8.5061,117.4317,83.82,71,74,8.19,PH,1632029683
Nadvoitsy,63.8667,34.3167,41.92,71,61,4.74,RU,1632029684
Weligama,5.9667,80.4167,85.98,67,94,10.6,LK,1632029686
Inta,66.0317,60.1659,38.12,63,100,22.77,RU,1632029686
Cap Malheureux,-19.9842,57.6142,77.47,67,91,8.01,MU,1632029688
Bariloche,-41.1456,-71.3082,29.95,86,40,5.75,AR,1632029402
Baruun-Urt,46.6806,113.2792,64.33,56,45,15.26,MN,1632029442
Statesboro,32.4488,-81.7832,77.31,94,40,0.0,US,1632029692
Bartoszyce,54.2535,20.8082,45.82,71,99,10.96,PL,1632029453
Talnakh,69.4865,88.3972,40.86,96,100,2.55,RU,1632029455
Ust-Kuyga,70.0167,135.6,35.62,68,99,18.28,RU,1632029696
Villahermosa,17.9833,-92.9167,75.02,92,48,4.05,MX,1632029698
Batagay,67.6333,134.6333,34.12,84,100,5.44,RU,1632029699
Nanortalik,60.1432,-45.2371,40.55,92,100,6.33,GL,1632029702
Souillac,-20.5167,57.5167,77.36,73,75,12.66,MU,1632029704
Daru,-9.0763,143.2092,78.31,87,100,17.69,PG,1632029706
Szigetvár,46.0486,17.8055,54.14,68,1,2.1,HU,1632029706
Elizabethtown,37.694,-85.8591,74.25,99,1,0.0,US,1632029708
Ta Khmau,11.4833,104.95,82.45,83,75,2.3,KH,1632029710
Port-Gentil,-0.7193,8.7815,76.96,83,75,4.61,GA,1632029711
Rodolfo Sánchez Taboada,31.7167,-116.5667,64.09,87,1,5.99,MX,1632029713
Bulawayo,-20.15,28.5833,57.63,57,0,10.78,ZW,1632029714
Lucea,18.451,-78.1736,82.26,82,65,10.2,JM,1632029716
Kirakira,-10.4544,161.9205,81.79,80,40,12.8,SB,1632029717
Flin Flon,54.7682,-101.865,55.98,70,94,5.19,CA,1632029718
Sinnamary,5.3833,-52.95,78.35,87,79,7.61,GF,1632029720
Chukhloma,58.7525,42.6825,39.65,67,9,5.88,RU,1632029723
Tambura,5.6,27.4667,73.76,81,73,5.97,SS,1632029725
Kumul,42.8,93.45,84.36,13,1,2.46,CN,1632029727
Malanje,-9.5402,16.341,66.15,78,40,5.73,AO,1632029727
Atambua,-9.1061,124.8925,82.99,52,29,2.68,ID,1632029729
Dongsheng,39.8161,109.9776,64.76,42,100,5.57,CN,1632029588
Thinadhoo,0.5333,72.9333,83.98,71,79,7.31,MV,1632029447
Bari,41.1177,16.8512,74.84,80,0,4.61,IT,1632029731
Lázaro Cárdenas,17.9583,-102.2,77.38,90,100,6.78,MX,1632029733
Khalkhāl,37.6189,48.5258,66.02,40,0,3.38,IR,1632029734
Kishtwār,33.3167,75.7667,78.58,62,67,4.85,IN,1632029736
Macao,22.2006,113.5461,93.79,84,40,11.5,MO,1632029449
Saldanha,-33.0117,17.9442,57.25,87,100,16.84,ZA,1632029737
Caraballeda,10.6112,-66.8522,78.87,74,23,5.75,VE,1632029739
Boca do Acre,-8.7522,-67.3978,74.53,80,34,2.26,BR,1632029741
Taltal,-25.4,-70.4833,55.38,87,100,5.79,CL,1632029743
Mahabalipuram,12.6264,80.1722,91.45,61,84,10.58,IN,1632029745
Guateque,5.0062,-73.4727,57.38,94,89,3.67,CO,1632029746
Mattru,7.6244,-11.8332,72.64,99,100,1.92,SL,1632029748
Khani,41.9563,42.9566,60.37,49,38,3.76,GE,1632029750
Hīt,33.6416,42.8251,88.97,22,0,6.91,IQ,1632029752
Portlethen,57.0547,-2.1307,58.77,99,90,1.99,GB,1632029754
Cururupu,-1.8283,-44.8683,74.84,91,14,3.98,BR,1632029756
Show Low,34.2542,-110.0298,66.07,88,75,0.0,US,1632029758
Faanui,-16.4833,-151.75,78.06,77,35,18.23,PF,1632029759
Lieksa,63.3167,30.0167,42.35,68,100,4.68,FI,1632029761
Touros,-5.1989,-35.4608,72.5,71,10,15.86,BR,1632029763
Emba,48.8264,58.1442,52.16,40,16,12.28,KZ,1632029765
Matamoros,25.5333,-103.25,80.11,39,8,12.68,MX,1632029767
Ranong,9.9658,98.6348,87.73,72,100,7.96,TH,1632029768
Hervey Bay,-25.2986,152.8535,77.11,66,1,12.5,AU,1632029770
Lara,-38.0167,144.4,66.16,54,75,29.93,AU,1632029771
